Date,Total Pembayaran,total_qty,Is_Cancelled
2024-05-29,894206,54,0.14285714285714285
2024-05-30,963212,28,0.125
2024-05-31,3377597,40,0.1111111111111111
2024-06-01,1164967,189,0.16666666666666666
2024-06-02,791273,39,0.13793103448275862
2024-06-03,1580554,59,0.041666666666666664
2024-06-04,591784,28,0.05263157894736842
2024-06-05,901580,55,0.09523809523809523
2024-06-06,4280404,135,0.12222222222222222
2024-06-07,823253,30,0.13043478260869565
2024-06-08,1416835,45,0.0
2024-06-09,627830,33,0.1111111111111111
2024-06-10,662053,33,0.08
2024-06-11,1186290,143,0.14814814814814814
2024-06-12,1565389,72,0.2916666666666667
2024-06-13,697944,35,0.09523809523809523
2024-06-14,579164,48,0.30434782608695654
2024-06-15,1087137,121,0.058823529411764705
2024-06-16,899638,51,0.13043478260869565
2024-06-17,1059340,63,0.14285714285714285
2024-06-18,745162,38,0.06060606060606061
2024-06-19,577593,16,0.13333333333333333
2024-06-20,1714063,43,0.10526315789473684
2024-06-21,878310,37,0.08
2024-06-22,766626,53,0.09523809523809523
2024-06-23,1753659,146,0.15
2024-06-24,492772,23,0.2
2024-06-25,1843929,75,0.23809523809523808
2024-06-26,962385,46,0.11764705882352941
2024-06-27,845321,16,0.0
2024-06-28,687306,33,0.07692307692307693
2024-06-29,739500,17,0.2727272727272727
2024-06-30,543864,36,0.0
2024-07-01,3312824,190,0.11428571428571428
2024-07-02,804333,57,0.13333333333333333
2024-07-03,2036907,144,0.07317073170731707
2024-07-04,1181566,71,0.17647058823529413
2024-07-05,1399818,122,0.26666666666666666
2024-07-06,965519,59,0.14285714285714285
2024-07-07,4210843,205,0.13
2024-07-08,3431111,101,0.0425531914893617
2024-07-09,2618356,94,0.0784313725490196
2024-07-10,2890121,146,0.14634146341463414
2024-07-11,2127703,153,0.14814814814814814
2024-07-12,1789506,81,0.14705882352941177
2024-07-13,736798,40,0.08
2024-07-14,1807128,114,0.15151515151515152
2024-07-15,1218898,86,0.10526315789473684
2024-07-16,2210311,107,0.18
2024-07-17,1734624,87,0.05128205128205128
2024-07-18,943224,75,0.16129032258064516
2024-07-19,2496954,66,0.10256410256410256
2024-07-20,1439897,86,0.05128205128205128
2024-07-21,3550680,37,0.30434782608695654
2024-07-22,2638577,73,0.1388888888888889
2024-07-23,1962179,76,0.09302325581395349
2024-07-24,2389878,67,0.11428571428571428
2024-07-25,2491166,102,0.07352941176470588
2024-07-26,748999,67,0.18181818181818182
2024-07-27,1634696,95,0.14634146341463414
2024-07-28,1534317,84,0.15384615384615385
2024-07-29,2279059,104,0.13333333333333333
